RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
"2,797","3,546","2,402",14,2,1,3,1,30,392,55,3,3,8:00 AM,9:50 AM,3,8,,,,,1,10,,,,,0,1,2,2,2,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,,,,5,,,,1,2,2,1,1,,,,8,5,5,5,2,,,,3,ATWATER,"56,209",US,11,6,2,1,2,2,0,1,0.55367500000000003
"2,798","3,547","2,402",14,2,1,3,1,30,392,55,3,3,9:00 AM,9:50 AM,3,8,,,,,2,10,,,,,,2,2,2,2,1,4,2,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,,,,5,6,6,4,5,5,,,,4,,,,1,2,2,2,2,,,,2,3,4,0,2,,,,1,ORINDA,"94,563",US,5,6,1,4,2,2,1,1,0.55367500000000003
"2,799","3,548","2,402",14,2,1,3,1,30,392,55,3,3,7:15 AM,9:50 AM,1,8,,,,,4,10,,,,,,1,1,1,2,1,1,2,5,3,6,4,4,2,6,6,4,2,4,6,6,6,4,163,,,5,6,6,5,5,5,,,,5,2,,,2,2,2,2,0,,,,5,4,5,4,1,9,,,3,,,,99,6,1,4,1,2,2,1,0.55367500000000003
"2,800","3,376","2,003",10,51,1,1,1,36,902,46,1,4,6:30 AM,9:05 AM,2,8,,,,,2,10,,,,,,1,2,2,2,1,3,1,4,6,6,5,5,5,6,6,6,4,6,6,6,6,4,15,,,5,6,6,6,4,4,,,,5,27,,,2,2,2,2,2,,,,1,4,4,5,2,,,,1,HAYWARD,"94,544",US,3,2,2,1,2,2,2,1,1.222456
"2,801","3,377","2,003",10,51,1,1,1,36,902,46,1,4,6:30 AM,9:05 AM,1,8,,,,,7,10,,,,,,1,1,1,2,2,2,1,5,5,5,5,5,5,6,6,6,5,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,4,,,2,2,2,2,2,,,,6,5,5,5,2,,,,3,LAS VEGAS,"89,117",US,10,4,2,3,2,1,2,1,1.222456
"2,802","3,378","2,003",10,51,1,1,1,36,902,46,1,4,7:00 AM,9:05 AM,2,8,,,,,1,10,,,,,1,2,1,2,2,3,3,1,4,4,4,4,5,3,6,6,6,5,5,6,5,6,4,170,,,5,6,6,5,5,5,,,,5,1,,,2,2,2,2,2,,,,2,4,5,5,2,,,,1,DANVILLE,,US,5,4,2,4,2,2,1,1,1.222456
"2,803","3,379","2,003",10,51,1,1,1,36,902,46,1,4,7:30 AM,9:05 AM,2,8,,,,,4,10,,,,,,2,1,1,1,4,4,1,5,3,2,5,5,5,6,6,4,4,6,4,6,6,4,,,,4,3,6,4,4,4,,,,5,1,,,2,2,2,2,1,,,,5,4,5,5,1,26,,,1,SAN FRANCISCO,"94,117",US,1,2,2,2,2,2,1,1,1.222456
"2,804","3,380","2,003",10,51,1,1,1,36,902,46,1,4,7:15 AM,9:05 AM,1,8,,,,,2,10,,,,,,1,1,2,1,3,4,1,5,4,4,4,4,4,6,6,2,4,4,6,6,6,4,204,,,5,6,6,4,4,4,,,,4,4,,,2,2,2,2,1,5,,,5,4,5,4,2,,,,1,REDWOOD CITY,"94,065",US,2,5,2,2,2,2,2,1,1.222456
"2,805","3,381","2,003",10,51,1,1,1,36,902,46,1,4,7:40 AM,9:05 AM,2,8,,,,,2,10,,,,,,2,2,2,2,3,4,1,6,6,6,4,6,4,6,6,6,4,4,6,4,6,4,,,,4,6,6,4,4,4,,,,5,5,,,2,2,1,2,2,,,,7,4,5,4,2,,,,3,TOP SAIL BEACH,,US,12,3,1,2,2,1,1,1,1.222456
"2,806","3,382","2,003",10,51,1,1,1,36,902,46,1,4,7:30 AM,9:05 AM,2,8,,,,,6,10,,,,,,1,1,1,1,1,1,1,4,6,4,4,6,4,6,6,4,4,6,6,6,6,4,,,,4,6,6,6,6,4,,,,5,4,,,2,2,2,2,1,,,,5,4,5,5,2,,,,3,MELBOURNE,,AUSTRALIA,19,2,2,1,2,2,2,1,1.222456
"2,807","3,383","2,003",10,51,1,1,1,36,902,46,1,4,7:30 AM,9:05 AM,2,8,,,,,4,10,,,,,,2,2,1,2,3,2,2,5,4,4,5,5,5,6,6,4,4,6,6,6,6,4,,,,5,6,6,5,5,5,,,,5,2,,,2,2,2,2,2,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,105",US,1,3,2,2,2,2,1,1,1.222456
"2,808","3,384","2,003",10,51,1,1,1,36,902,46,1,4,7:30 AM,9:05 AM,2,8,,,,,4,10,,,,,,2,2,2,2,4,4,2,4,4,4,5,5,5,5,5,4,5,5,5,5,5,4,,,,5,5,5,5,5,5,,,,3,,,,2,1,1,2,1,,,,6,4,5,5,2,,,,1,SAN FRANCISCO,"94,108",US,1,4,2,2,2,1,0,1,1.222456
"2,809","3,385","2,003",10,51,1,1,1,36,902,46,1,4,7:30 AM,9:05 AM,2,8,,,,,1,10,,,,,3,1,1,1,2,2,4,2,4,4,4,4,3,3,4,4,4,3,4,6,4,6,4,,,,5,6,6,5,5,5,,,,4,,,,2,2,2,2,2,,,,15,2,3,3,2,,,,2,TURLOCK,"95,382",US,10,3,2,1,2,2,2,1,1.222456
"2,810","3,386","2,003",10,51,1,1,1,36,902,46,1,4,7:15 AM,9:05 AM,2,8,,,,,2,10,,,,,,2,2,1,1,3,4,2,4,4,4,5,3,3,3,3,2,4,3,3,3,6,4,,,,4,6,6,3,3,3,,,,4,24,5,,2,2,2,2,1,3,10,,5,5,5,5,2,,,,0,,,,99,0,0,0,0,0,0,1,1.222456
"2,811","3,387","2,003",10,51,1,1,1,36,902,46,1,4,7:00 AM,9:05 AM,2,8,,,,,2,10,,,,,,1,0,1,1,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,4,4,4,4,4,4,,,,4,,,,1,0,0,0,0,,,,2,4,4,0,2,,,,1,CONCORD,,US,5,4,1,2,2,0,1,1,1.222456
"2,812","3,388","2,003",10,51,1,1,1,36,902,46,1,4,7:40 AM,9:05 AM,2,8,,,,,5,10,,,,,,2,2,1,1,3,3,2,4,2,3,3,3,3,6,6,3,3,6,4,2,3,4,3,1,,3,4,6,3,3,3,,,,4,6,,,2,2,2,2,1,,,,5,4,5,4,2,,,,1,SAN FRANCISCO,"94,133",US,1,3,2,2,2,2,1,1,1.222456
"2,813","3,389","2,003",10,51,1,1,1,36,902,46,1,4,7:30 AM,9:05 AM,5,8,,,,,5,10,,,,,,0,0,1,0,2,4,2,4,5,4,4,4,4,2,6,6,3,3,4,6,6,4,,,,5,5,6,4,4,4,,,,4,4,,,2,2,2,2,2,,,,2,5,4,4,2,,,,1,ORINDA,"94,563",US,5,4,2,3,2,2,1,1,1.222456
"2,814","3,390","2,003",10,51,1,1,1,36,902,46,1,4,7:50 AM,9:05 AM,2,8,,,,,7,10,,,,,,1,2,1,1,1,1,2,4,4,6,5,5,6,6,6,2,6,6,6,6,6,5,204,,,5,6,6,5,5,5,,,,5,4,,,2,2,2,2,1,6,,,5,5,5,5,2,,,,3,MELBOURNE,,AUSTRALIA,19,3,2,2,3,2,2,1,1.222456
"2,815","3,391","2,003",10,51,1,1,1,36,902,46,1,4,8:00 AM,9:05 AM,1,8,,,,,2,10,,,,,,1,2,2,1,4,2,2,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,20,,,4,4,4,4,4,4,,,,5,6,,,2,2,2,2,1,,,,5,4,5,5,2,,,,3,LAS VEGAS,"89,156",US,10,4,2,3,2,2,1,1,1.222456
"2,816","3,392","2,003",10,51,1,1,1,36,902,46,1,4,7:45 AM,9:05 AM,1,8,,,,,3,10,,,,,,1,1,2,2,1,1,2,3,6,3,3,3,3,6,6,6,3,6,6,6,6,3,,,,5,6,6,6,5,5,,,,3,,,,2,2,2,2,2,,,,11,4,4,4,2,,,,3,LAS VEGAS,"89,103",US,10,3,2,2,2,2,2,1,1.222456
"2,817","3,393","2,003",10,51,1,1,1,36,902,46,1,4,7:45 AM,9:05 AM,2,8,,,,,2,10,,,,,,0,1,0,1,3,3,2,5,4,4,5,5,5,6,6,5,4,4,6,3,6,4,24,,,5,6,6,5,4,4,,,,5,5,20,,1,2,2,1,1,7,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,110",US,1,3,2,0,2,1,0,1,1.222456
